key_mlbam,key_bbref,name_last,name_first
673540,sengako01,Senga,Kodai
112435,cochrge01,Cochran,George
622780,perdoan01,Perdomo,Ángel
816446,yann01,Yann,
818193,mellile01,Mellix,Ralph
111017,bishofr01,Bishop,Frank
594555,cecchga01,Cecchini,Garin
111591,brownsc01,Brown,Scott
817408,russea03,Russell,A.
820468,bleds01,Bledsoe,
124683,yoterel01,Yoter,Elmer
112696,corrapa01,Corrales,Pat
121696,santijo03,Santiago,José
820389,briggbo01,Briggery,Bo
816485,womacge01,Womack,George
116690,jonesha01,Jones,Hal
488683,barnesc01,Barnes,Scott
641684,hermomi01,Hermosillo,Michael
120204,panthji01,Panther,Jim
816895,troydo01,Troy,Donald
112567,connbe01,Conn,Bert
117970,lubyha01,Luby,Hal
433677,padilju01,Padilla,Juan
123485,trubyha01,Truby,Harry
669004,melenmj01,Melendez,MJ
657006,steelju01,Steele,Justin
124380,wilsoar02,Wilson,Artie
488984,hunteto02,Hunter,Tommy
592433,jenkity01,Jenkins,Tyrell
502261,gilleco01,Gillespie,Cole
817209,smithcl03,Smith,Cleo
112591,connojo01,Connors,Joe
136721,hatchch01,Hatcher,Chris
116158,horseha01,Horsey,Hanson
114552,galvipu01,Galvin,Pud
121947,scottti01,Scott,Tim
119082,milleji01,Miller,Jim
112017,carnejo01,Carney,Jack
124339,willish01,Williams,Shad
594988,schebsc01,Schebler,Scott
121401,rohrmda01,Rohrmeier,Dan
122492,snodgfr01,Snodgrass,Fred
120936,rasmude01,Rasmussen,Dennis
111647,brydet.01,Bryden,T. R.
118395,masonde01,Mason,Del
203737,wiley01,Wiley,Joseph
279615,kimsu01,Kim,Sun-Woo
434627,speiery01,Speier,Ryan
665759,rossora01,Rosso,Ramón
121628,salasma01,Salas,Mark
150449,ankieri01,Ankiel,Rick
118413,matchto01,Matchick,Tommy
113413,doddon01,Dodd,Ona
665487,tatisfe02,Tatís,Fernando
120675,porraed01,Porray,Ed
122878,strikja01,Striker,Jake
448167,mannbr01,Mann,Brandon
121924,scott01,Scott,
669203,burneco01,Burnes,Corbin
123806,waldbdo01,Waldbauer,Doc
115622,havenbr01,Havens,Brad
333292,wilsoja02,Wilson,Jack
622503,crismna01,Crismatt,Nabil
115616,hausear01,Hauser,Arnold
124735,zahnefr01,Zahner,Fred
115735,hemined01,Hemingway,Ed
112851,cronida01,Cronin,Dan
110243,anderfr01,Anderson,Fred
115798,heplebi01,Hepler,Bill
488721,bourjpe01,Bourjos,Peter
519357,toddje01,Todd,Jess
435520,floreje02,Flores,Jesús
120260,partero01,Partee,Roy
121317,robinja03,Robinson,Jack
122222,siffefr01,Siffell,Frank
817690,powel06,Powell,
119596,murrato01,Murray,Tom
606303,payamjo01,Payamps,Joel
118870,mcquige02,McQuinn,George
119421,morsebu01,Morse,Bud
123917,wardjo03,Ward,John
116916,kelleha02,Kelleher,Hal
112425,coaklan01,Coakley,Andy
117217,knudsku01,Knudsen,Kurt
571676,frankse01,Frankoff,Seth
120705,pottsjo01,Potts,John
406402,juliojo01,Julio,Jorge
663568,kolekst01,Kolek,Stephen
120101,osterch01,Osterhout,Charlie
571948,milneho01,Milner,Hoby
113613,dumouda01,Dumoulin,Dan
111150,bogente01,Bogener,Terry
120117,ottme01,Ott,Mel
123100,tatepo01,Tate,Edward
474249,jacksry02,Jackson,Ryan
119271,montoch01,Montoyo,Charlie
111119,bluevi01,Blue,Vida
117718,leverwa01,Leverenz,Walt
113560,dressbo01,Dresser,Bob
111292,bowersh01,Bowers,Shane
641541,duplajo01,Duplantier,Jon
121629,salazan01,Salazar,Angel
114887,goetzjo01,Goetz,John
407927,gracefr01,Gracesqui,Frank
122727,steinbe01,Steiner,Ben
121371,roebued01,Roebuck,Ed
456387,feierry01,Feierabend,Ryan
461833,hugheph01,Hughes,Phil
120764,priddje01,Priddy,Jerry
455970,mccrobo01,McCrory,Bob
114011,farmeed01,Farmer,Ed
112847,crompne01,Crompton,Ned
276054,clarkbr02,Clark,Brady
120834,quillle01,Quillin,Lee
115658,headed01,Head,Ed
122935,sulargu01,Sularz,Guy
115359,halleto01,Haller,Tom
543677,ramsema01,Ramsey,Matt
113546,drakesa01,Drake,Sammy
115786,henryge01,Henry,George
